Date,Open,High,Low,Close
19-01-22,42374.03906,42478.30469,41242.91406,41744.32813
20-01-22,41744.02734,43413.02344,40672.82422,40680.41797
21-01-22,40699.60547,41060.52734,35791.42578,36457.31641
22-01-22,36471.58984,36688.8125,34349.25,35030.25
23-01-22,35047.35938,36433.3125,34784.96875,36276.80469
24-01-22,36275.73438,37247.51953,33184.05859,36654.32813
25-01-22,36654.80469,37444.57031,35779.42969,36954.00391
26-01-22,36950.51563,38825.41016,36374.90625,36852.12109
27-01-22,36841.87891,37148.32422,35629.28125,37138.23438
28-01-22,37128.44531,37952.87891,36211.10938,37784.33203
29-01-22,37780.71484,38576.26172,37406.47266,38138.17969
30-01-22,38151.91797,38266.33984,37437.71094,37917.60156
31-01-22,37920.28125,38647.26172,36733.57422,38483.125
01-02-22,38481.76563,39115.13281,38113.66406,38743.27344
02-02-22,38743.71484,38834.61719,36832.73047,36952.98438
03-02-22,36944.80469,37154.60156,36375.53906,37154.60156
04-02-22,37149.26563,41527.78516,37093.62891,41500.875
05-02-22,41501.48047,41847.16406,41038.09766,41441.16406
06-02-22,41441.12109,42500.78516,41244.90625,42412.43359
07-02-22,42406.78125,44401.86328,41748.15625,43840.28516
08-02-22,43854.65234,45293.86719,42807.83594,44118.44531
09-02-22,44096.70313,44727.80078,43232.96875,44338.79688
10-02-22,44347.80078,45661.17188,43402.80859,43565.11328
11-02-22,43571.12891,43810.83203,42114.53906,42407.9375
12-02-22,42412.30078,42992.55078,41852.57422,42244.46875
13-02-22,42236.56641,42693.05469,41950.94141,42197.51563
14-02-22,42157.39844,42775.77734,41681.95703,42586.91797
15-02-22,42586.46484,44667.21875,42491.03516,44575.20313
16-02-22,44578.27734,44578.27734,43456.69141,43961.85938
17-02-22,43937.07031,44132.97266,40249.37109,40538.01172
18-02-22,40552.13281,40929.15234,39637.61719,40030.97656
19-02-22,40026.02344,40418.87891,39713.05859,40122.15625
20-02-22,40118.10156,40119.89063,38112.8125,38431.37891
21-02-22,38423.21094,39394.4375,36950.47656,37075.28125
22-02-22,37068.76953,38359.85547,36488.93359,38286.02734
23-02-22,38285.28125,39122.39453,37201.81641,37296.57031
24-02-22,37278.56641,38968.83984,34459.21875,38332.60938
25-02-22,38333.74609,39630.32422,38111.34375,39214.21875
26-02-22,39213.08203,40005.34766,38702.53516,39105.14844
27-02-22,39098.69922,39778.94141,37268.97656,37709.78516
28-02-22,37706,43760.45703,37518.21484,43193.23438
01-03-22,43194.50391,44793.60156,42952.58594,44354.63672
02-03-22,44357.61719,45077.57813,43432.85156,43924.11719
03-03-22,43925.19531,44021.57813,41914.75,42451.78906
04-03-22,42458.14063,42479.61328,38805.84766,39137.60547
05-03-22,39148.44922,39566.33594,38777.03516,39400.58594
06-03-22,39404.19922,39640.17578,38211.64844,38419.98438
07-03-22,38429.30469,39430.22656,37260.20313,38062.03906
08-03-22,38059.90234,39304.44141,37957.38672,38737.26953
09-03-22,38742.81641,42465.67188,38706.09375,41982.92578
10-03-22,41974.07031,42004.72656,38832.94141,39437.46094
11-03-22,39439.96875,40081.67969,38347.43359,38794.97266
12-03-22,38794.46484,39308.59766,38772.53516,38904.01172
13-03-22,38884.72656,39209.35156,37728.14453,37849.66406
14-03-22,37846.31641,39742.5,37680.73438,39666.75391
15-03-22,39664.25,39794.62891,38310.21094,39338.78516
16-03-22,39335.57031,41465.45313,39022.34766,41143.92969
17-03-22,41140.84375,41287.53516,40662.87109,40951.37891
18-03-22,40944.83984,42195.74609,40302.39844,41801.15625
19-03-22,41794.64844,42316.55469,41602.66797,42190.65234
20-03-22,42191.40625,42241.16406,41004.75781,41247.82422
21-03-22,41246.13281,41454.41016,40668.04297,41077.99609
22-03-22,41074.10547,43124.70703,40948.28125,42358.80859
23-03-22,42364.37891,42893.50781,41877.50781,42892.95703
24-03-22,42886.65234,44131.85547,42726.16406,43960.93359
25-03-22,43964.54688,44999.49219,43706.28516,44348.73047
26-03-22,44349.85938,44735.99609,44166.27344,44500.82813
27-03-22,44505.35547,46827.54688,44437.29297,46820.49219
28-03-22,46821.85156,48086.83594,46690.20313,47128.00391
29-03-22,47100.4375,48022.28906,47100.4375,47465.73047
30-03-22,47456.89844,47655.14844,46746.21094,47062.66406
31-03-22,47062.14844,47512.02734,45390.53906,45538.67578
01-04-22,45554.16406,46616.24219,44403.14063,46281.64453
02-04-22,46285.5,47028.28125,45782.51172,45868.94922
03-04-22,45859.12891,47313.47656,45634.10547,46453.56641
04-04-22,46445.27344,46791.08984,45235.81641,46622.67578
05-04-22,46624.50781,47106.14063,45544.80859,45555.99219
06-04-22,45544.35547,45544.35547,43193.95313,43206.73828
07-04-22,43207.5,43860.69922,42899.90625,43503.84766
08-04-22,43505.13672,43903.01953,42183.28906,42287.66406
09-04-22,42282.07813,42786.81641,42183.25391,42782.13672
10-04-22,42781.08984,43376.37891,42021.20703,42207.67188
11-04-22,42201.03906,42424.58984,39373.05859,39521.90234
12-04-22,39533.71484,40617.58594,39388.32813,40127.18359
13-04-22,40123.57031,41430.05469,39712.74609,41166.73047
14-04-22,41160.21875,41451.48047,39695.74609,39935.51563
15-04-22,39939.40234,40617.72266,39866.83203,40553.46484
16-04-22,40552.31641,40633.67969,40078.42578,40424.48438
17-04-22,40417.77734,40570.72656,39620.89453,39716.95313
18-04-22,39721.20313,40986.32031,38696.19141,40826.21484
19-04-22,40828.17578,41672.96094,40618.63281,41502.75
20-04-22,41501.74609,42126.30078,40961.09766,41374.37891
21-04-22,41371.51563,42893.58203,40063.82813,40527.36328
